,names,parents,values,color
505,xxx505,소프트웨어 개발 및 공급업,46,
506,xxx506,상품 종합 도매업,46,-3.336336747
507,xxx507,의료용품 및 기타 의약 관련제품 제조업,45,6.05376843
508,xxx508,전구 및 조명장치 제조업,45,
509,xxx509,자연과학 및 공학 연구개발업,45,4.094344562
510,xxx510,자동차 신품 부품 제조업,45,
511,xxx511,1차 철강 제조업,45,-4.776318442
512,xxx512,반도체 제조업,45,-3.120895417
513,xxx513,특수 목적용 기계 제조업,45,
514,xxx514,자연과학 및 공학 연구개발업,44,
515,xxx515,통신 및 방송 장비 제조업,44,
516,xxx516,그외 기타 운송장비 제조업,44,4.569792347
517,xxx517,반도체 제조업,44,-3.616736334
518,xxx518,의약품 제조업,44,-5.718820352
519,xxx519,기타 화학제품 제조업,43,-4.103635236
520,xxx520,특수 목적용 기계 제조업,43,5.343779741
521,xxx521,동물용 사료 및 조제식품 제조업,43,
522,xxx522,기초 화학물질 제조업,42,3.925240589
523,xxx523,기초 의약물질 및 생물학적 제제 제조업,42,4.157367267
524,xxx524,일차전지 및 축전지 제조업,42,
525,xxx525,기초 의약물질 및 생물학적 제제 제조업,42,-3.942176044
526,xxx526,전문디자인업,42,1.897119985
527,xxx527,"구조용 금속제품, 탱크 및 증기발생기 제조업",42,-3.301763485
528,xxx528,기초 의약물질 및 생물학적 제제 제조업,42,
529,xxx529,"구조용 금속제품, 탱크 및 증기발생기 제조업",41,-3.6949585
530,xxx530,"경비, 경호 및 탐정업",41,4.095360306
531,xxx531,의약품 제조업,41,-3.312879073
532,xxx532,"시멘트, 석회, 플라스터 및 그 제품 제조업",41,4.91694981
533,xxx533,일반 목적용 기계 제조업,41,-2.73742481
534,xxx534,특수 목적용 기계 제조업,41,
535,xxx535,의약품 제조업,41,2.999477596
536,xxx536,특수 목적용 기계 제조업,41,-3.724811463
537,xxx537,일반 교습 학원,41,-6.780476078
538,xxx538,특수 목적용 기계 제조업,40,-6.069582326
539,xxx539,의약품 제조업,40,
540,xxx540,기타 식품 제조업,40,
541,xxx541,신탁업 및 집합투자업,40,-0.4700036292
542,xxx542,부동산 임대 및 공급업,40,-3.218875825
543,xxx543,일반 목적용 기계 제조업,40,4.15449083
544,xxx544,건물 건설업,40,-3.92620764
545,xxx545,"섬유, 의복, 신발 및 가죽제품 소매업",39,4.74827103
546,xxx546,도로 화물 운송업,39,-3.276983456
547,xxx547,일반 목적용 기계 제조업,39,-3.759220943
548,xxx548,부동산 임대 및 공급업,39,-3.480582411
549,xxx549,합성고무 및 플라스틱 물질 제조업,39,
550,xxx550,자동차 신품 부품 제조업,39,
551,xxx551,특수 목적용 기계 제조업,39,-1.480605041
552,xxx552,기타 식품 제조업,38,-2.995732274
553,xxx553,기타 전문 도매업,38,-4.387649892
554,xxx554,통신 및 방송 장비 제조업,38,5.113275645
555,xxx555,특수 목적용 기계 제조업,38,
556,xxx556,"증기, 냉·온수 및 공기조절 공급업",38,-3.34713016
557,xxx557,"건축기술, 엔지니어링 및 관련 기술 서비스업",38,
558,xxx558,기타 화학제품 제조업,38,-2.531559565
559,xxx559,"항공기,우주선 및 부품 제조업",37,
560,xxx560,특수 목적용 기계 제조업,37,1.33072451
561,xxx561,기타 금융업,37,2.092864562
562,xxx562,기타 금융업,36,2.679879324
563,xxx563,1차 철강 제조업,36,inf
564,xxx564,석유 정제품 제조업,36,4.040448794
565,xxx565,전자부품 제조업,36,
566,xxx566,"영화, 비디오물, 방송프로그램 제작 및 배급업",36,-2.407945609
567,xxx567,토목 건설업,36,
568,xxx568,"건축기술, 엔지니어링 및 관련 기술 서비스업",36,2.602101623
569,xxx569,기초 화학물질 제조업,36,
570,xxx570,반도체 제조업,36,-3.514340038
571,xxx571,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",35,
572,xxx572,화학섬유 제조업,35,-4.829455942
573,xxx573,상품 종합 도매업,35,-3.575550769
574,xxx574,플라스틱제품 제조업,35,-4.031455474
575,xxx575,일반 목적용 기계 제조업,35,-4.268697949
576,xxx576,의약품 제조업,35,-3.741065207
577,xxx577,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",35,inf
578,xxx578,의료용품 및 기타 의약 관련제품 제조업,35,-4.477336814
579,xxx579,회사 본부 및 경영 컨설팅 서비스업,35,
580,xxx580,반도체 제조업,34,3.662807214
581,xxx581,기타 비금속 광물제품 제조업,34,-4.078880337
582,xxx582,기타 화학제품 제조업,34,-4.023248641
583,xxx583,플라스틱제품 제조업,34,4.532757608
584,xxx584,영상 및 음향기기 제조업,34,-3.941010542
585,xxx585,사진장비 및 광학기기 제조업,34,
586,xxx586,특수 목적용 기계 제조업,33,
587,xxx587,특수 목적용 기계 제조업,33,-3.941875969
588,xxx588,기타 화학제품 제조업,33,
589,xxx589,산업용 기계 및 장비 임대업,33,-2.645529844
590,xxx590,통신 및 방송 장비 제조업,33,-4.253564248
591,xxx591,기타 전기장비 제조업,33,4.254967757
592,xxx592,전자부품 제조업,33,3.593569274
593,xxx593,기초 화학물질 제조업,32,-4.009125836
594,xxx594,의료용 기기 제조업,32,4.13733811
595,xxx595,부동산 임대 및 공급업,32,
596,xxx596,부동산 임대 및 공급업,32,
597,xxx597,자동차 부품 및 내장품 판매업,32,
598,xxx598,일반 목적용 기계 제조업,32,inf
599,xxx599,의약품 제조업,31,1.92259907
600,xxx600,선박 및 보트 건조업,31,2.506184048
601,xxx601,의료용품 및 기타 의약 관련제품 제조업,31,1.904070491
602,xxx602,의약품 제조업,31,
603,xxx603,연료용 가스 제조 및 배관공급업,31,inf
604,xxx604,기타 화학제품 제조업,31,
605,xxx605,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",30,-2.302585093
606,xxx606,보험업,30,-5.560681631
607,xxx607,부동산 임대 및 공급업,30,3.912023005
608,xxx608,소프트웨어 개발 및 공급업,30,4.837502163
609,xxx609,부동산 임대 및 공급업,30,3.869463391
610,xxx610,여행사 및 기타 여행보조 서비스업,30,-3.976561527
611,xxx611,전자부품 제조업,30,inf
612,xxx612,전자부품 제조업,29,2.684793339
613,xxx613,컴퓨터 및 주변장치 제조업,29,2.731799381
614,xxx614,자연과학 및 공학 연구개발업,29,-3.435098933
615,xxx615,소프트웨어 개발 및 공급업,29,-2.98311381
616,xxx616,기타 화학제품 제조업,29,-2.436957175
617,xxx617,"영화, 비디오물, 방송프로그램 제작 및 배급업",29,4.373368572
618,xxx618,전자부품 제조업,29,-4.367554602
619,xxx619,금융 지원 서비스업,28,-5.08279774
620,xxx620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",28,1.496109227
621,xxx621,통신 및 방송 장비 제조업,28,
622,xxx622,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",28,-5.271166377
623,xxx623,의복 액세서리 제조업,28,6.017897804
624,xxx624,기타 식품 제조업,28,
625,xxx625,건물 건설업,28,-2.946942109
626,xxx626,자동차 신품 부품 제조업,27,
627,xxx627,특수 목적용 기계 제조업,27,-3.63172104
628,xxx628,기타 식품 제조업,27,-4.00781407
629,xxx629,종합 소매업,27,4.334624396
630,xxx630,전자부품 제조업,27,
631,xxx631,특수 목적용 기계 제조업,27,4.298986547
632,xxx632,"항공기,우주선 및 부품 제조업",26,
633,xxx633,의약품 제조업,26,3.593569274
634,xxx634,통신 및 방송 장비 제조업,26,
635,xxx635,기타 화학제품 제조업,26,3.566277132
636,xxx636,해상 운송업,26,-3.339503813
637,xxx637,특수 목적용 기계 제조업,26,1.42118162
